# 2017-03-29
# N=64
# num_subpops_list=[1,4,8]
# horiz_select=false
# ngens=100
# burn_in=1.0
# normal_stddev=0.01
# opt_loss_cutoff=0.2
num_subpops,subpop_size,num_emigrants,num_attributes,move_range,move_time_interval,horiz_select,fract_below_cutoff,mean_fitness,stddev_fitness,stddev_attributes
1,64,0,4,0.1,10,false,0.48,0.2495733234420765,0.10211372862394524,0.020832190037774676
1,64,1,4,0.1,10,false,0.4,0.27253647199846764,0.11057879765036607,0.02140767787192105
1,64,2,4,0.1,10,false,0.47,0.2582314339666782,0.09879058075822358,0.021442710584570295
4,16,0,4,0.1,10,false,0.79,0.1291317740410585,0.05197684369732757,0.02031674959560751
4,16,1,4,0.1,10,false,0.3975,0.26364439732166867,0.09403218701537511,0.020876620293103908
4,16,2,4,0.1,10,false,0.465,0.2462754864009524,0.09460449150939387,0.022340438366189774
8,8,0,4,0.1,10,false,0.66875,0.17213631785660685,0.06197591384256318,0.018352566502405455
8,8,1,4,0.1,10,false,0.68125,0.17013572918007522,0.07088918852929645,0.021379772678289957
8,8,2,4,0.1,10,false,0.50125,0.21893995920052134,0.08416759450370856,0.02273709460288008
